Date,Rain,year,rain_same_day,rain_48h,rain_48
2016-06-13,0,16,0,0,0
2016-06-14,0,16,0,0,0
2016-06-15,0,16,0,0,0
2016-06-16,0,16,0,0,0
2016-06-17,0,16,0,0,0
2016-06-18,0,16,0,0,0
2016-06-19,0,16,0,0,0
2016-06-20,0,16,0,0,0
2016-06-21,4,16,4,0,0
2016-06-22,4.6,16,0.6,4,0
2016-06-23,5.5,16,0.9,0.6,4
2016-06-24,14.6,16,13.1,0.9,0.6
2016-06-25,23.8,16,9.8,13.1,0.9
2016-06-26,24.2,16,1.3,9.8,13.1
2016-06-27,11.4,16,0.3,1.3,9.8
2016-06-28,2.2,16,0.6,0.3,1.3
2016-06-29,3.4,16,2.5,0.6,0.3
2016-06-30,13.5,16,10.4,2.5,0.6
2016-07-01,14.3,16,1.4,10.4,2.5
2016-07-02,21.6,16,9.8,1.4,10.4
2016-07-03,11.4,16,0.2,9.8,1.4
2016-07-04,10.1,16,0.1,0.2,9.8
2016-07-05,6.3,16,6,0.1,0.2
2016-07-06,6.4,16,0.3,6,0.1
2016-07-07,6.3,16,0,0.3,6
2016-07-08,2.8,16,2.5,0,0.3
2016-07-09,3.2,16,0.7,2.5,0
2016-07-10,4.9,16,1.7,0.7,2.5
2016-07-11,9.5,16,7.1,1.7,0.7
2016-07-12,22.2,16,13.4,7.1,1.7
2016-07-13,26,16,5.5,13.4,7.1
2016-07-14,25.8,16,6.9,5.5,13.4
2016-07-15,12.5,16,0.1,6.9,5.5
2016-07-16,7,16,0,0.1,6.9
2016-07-17,0.1,16,0,0,0.1
2016-07-18,2.7,16,2.7,0,0
2016-07-19,5.7,16,3,2.7,0
2016-07-20,9.9,16,4.2,3,2.7
2016-07-21,10.9,16,3.7,4.2,3
2016-07-22,12.6,16,4.7,3.7,4.2
2016-07-23,12.2,16,3.8,4.7,3.7
2016-07-24,12.5,16,4,3.8,4.7
2016-07-25,10.4,16,2.6,4,3.8
2016-07-26,8.3,16,1.7,2.6,4
2016-07-27,6.3,16,2,1.7,2.6
2016-07-28,4.4,16,0.7,2,1.7
2016-07-29,3.3,16,0.6,0.7,2
2016-07-30,4.2,16,2.9,0.6,0.7
2016-07-31,14.8,16,11.3,2.9,0.6
2016-08-01,14.9,16,0.7,11.3,2.9
2016-08-02,12.5,16,0.5,0.7,11.3
2016-08-03,1.3,16,0.1,0.5,0.7
2016-08-04,19.6,16,19,0.1,0.5
2016-08-05,33.1,16,14,19,0.1
2016-08-06,33,16,0,14,19
2016-08-07,14,16,0,0,14
2016-08-08,1.8,16,1.8,0,0
2016-08-09,11.6,16,9.8,1.8,0
2017-06-05,11.6,17,0,9.8,1.8
2017-06-06,9.8,17,0,0,9.8
2017-06-07,0,17,0,0,0
2017-06-08,0,17,0,0,0
2017-06-09,0,17,0,0,0
2017-06-10,0,17,0,0,0
2017-06-11,0,17,0,0,0
2017-06-12,5.3,17,5.3,0,0
2017-06-13,7.9,17,2.6,5.3,0
2017-06-14,14.4,17,6.5,2.6,5.3
2017-06-15,12.8,17,3.7,6.5,2.6
2017-06-16,11.7,17,1.5,3.7,6.5
2017-06-17,5.2,17,0,1.5,3.7
2017-06-18,1.5,17,0,0,1.5
2017-06-19,1.2,17,1.2,0,0
2017-06-20,3.1,17,1.9,1.2,0
2017-06-21,8.4,17,5.3,1.9,1.2
2017-06-22,10.2,17,3,5.3,1.9
2017-06-23,14,17,5.7,3,5.3
2017-06-24,18.5,17,9.8,5.7,3
2017-06-25,23.5,17,8,9.8,5.7
2017-06-26,22.3,17,4.5,8,9.8
2017-06-27,19.4,17,6.9,4.5,8
2017-06-28,30.7,17,19.3,6.9,4.5
2017-06-29,32.5,17,6.3,19.3,6.9
2017-06-30,27.8,17,2.2,6.3,19.3
2017-07-01,14.1,17,5.6,2.2,6.3
2017-07-02,10.1,17,2.3,5.6,2.2
2017-07-03,8.2,17,0.3,2.3,5.6
2017-07-04,2.8,17,0.2,0.3,2.3
2017-07-05,0.8,17,0.3,0.2,0.3
2017-07-06,0.7,17,0.2,0.3,0.2
2017-07-07,1.5,17,1,0.2,0.3
2017-07-08,7.5,17,6.3,1,0.2
2017-07-09,15.6,17,8.3,6.3,1
2017-07-10,22,17,7.4,8.3,6.3
2017-07-11,17.8,17,2.1,7.4,8.3
2017-07-12,12.4,17,2.9,2.1,7.4
2017-07-13,5.8,17,0.8,2.9,2.1
2017-07-14,6.5,17,2.8,0.8,2.9
2017-07-15,3.9,17,0.3,2.8,0.8
2017-07-16,3.1,17,0,0.3,2.8
2017-07-17,1.8,17,1.5,0,0.3
2017-07-18,12.1,17,10.6,1.5,0
2017-07-19,17.1,17,5,10.6,1.5
2017-07-20,22,17,6.4,5,10.6
2017-07-21,24.6,17,13.2,6.4,5
2017-07-22,23.8,17,4.2,13.2,6.4
2017-07-23,21.3,17,3.9,4.2,13.2
2017-07-24,19.1,17,11,3.9,4.2
2017-07-25,25.4,17,10.5,11,3.9
2017-07-26,24.9,17,3.4,10.5,11
2017-07-27,15.9,17,2,3.4,10.5
2017-07-28,6.2,17,0.8,2,3.4
2017-07-29,6.6,17,3.8,0.8,2
2017-07-30,6.3,17,1.7,3.8,0.8
2017-07-31,9.6,17,4.1,1.7,3.8
2020-06-10,17.8,20,12,4.1,1.7
2020-06-11,26.8,20,10.7,12,4.1
2020-06-12,23.5,20,0.8,10.7,12
2020-06-13,34.8,20,23.3,0.8,10.7
2020-06-14,36.9,20,12.8,23.3,0.8
2020-06-15,41.2,20,5.1,12.8,23.3
2020-06-16,25.2,20,7.3,5.1,12.8
2020-06-17,38,20,25.6,7.3,5.1
2020-06-18,39.6,20,6.7,25.6,7.3
2020-06-19,43.3,20,11,6.7,25.6
2020-06-20,18.2,20,0.5,11,6.7
2020-06-21,11.7,20,0.2,0.5,11
2020-06-22,1.5,20,0.8,0.2,0.5
2020-06-23,1,20,0,0.8,0.2
2020-06-24,5,20,4.2,0,0.8
2020-06-25,7.1,20,2.9,4.2,0
2020-06-26,15.3,20,8.2,2.9,4.2
2020-06-27,22.4,20,11.3,8.2,2.9
2020-06-28,27.9,20,8.4,11.3,8.2
2020-06-29,42.6,20,22.9,8.4,11.3
2020-06-30,31.3,20,0,22.9,8.4
2020-07-01,28,20,5.1,0,22.9
2020-07-02,13.6,20,8.5,5.1,0
2020-07-03,15.5,20,1.9,8.5,5.1
2020-07-04,10.5,20,0.1,1.9,8.5
2020-07-05,2.2,20,0.2,0.1,1.9
2020-07-06,2.2,20,1.9,0.2,0.1
2020-07-07,2.1,20,0,1.9,0.2
2020-07-08,1.9,20,0,0,1.9
2020-07-09,0,20,0,0,0
2020-07-10,25.4,20,25.4,0,0
2020-07-11,48.3,20,22.9,25.4,0
2020-07-12,48.3,20,0,22.9,25.4
2020-07-13,24.2,20,1.3,0,22.9
2020-07-14,4.3,20,3,1.3,0
2020-07-15,11.8,20,7.5,3,1.3
2020-07-16,12.4,20,1.9,7.5,3
2020-07-17,10.7,20,1.3,1.9,7.5
2020-07-18,3.2,20,0,1.3,1.9
2020-07-19,1.3,20,0,0,1.3
2020-07-20,0,20,0,0,0
2020-07-21,15.4,20,15.4,0,0
2020-07-22,21.4,20,6,15.4,0
2020-07-23,24.6,20,3.2,6,15.4
2020-07-24,42.7,20,33.5,3.2,6
2020-07-25,36.7,20,0,33.5,3.2
2020-07-26,34.8,20,1.3,0,33.5
2020-07-27,1.3,20,0,1.3,0
2020-07-28,3.9,20,2.6,0,1.3
2020-07-29,11.8,20,9.2,2.6,0
2020-07-30,13.4,20,1.6,9.2,2.6
2020-07-31,11.3,20,0.5,1.6,9.2
2020-08-01,3.5,20,1.4,0.5,1.6
2020-08-02,16.7,20,14.8,1.4,0.5
2020-08-03,30.5,20,14.3,14.8,1.4
2020-08-04,33.4,20,4.3,14.3,14.8
2020-08-05,18.6,20,0,4.3,14.3
2020-08-06,4.3,20,0,0,4.3